id,area,sheet_no,strat_id,srtm_mean,srtm_stdev,srtm_min,srtm_max,10m_mean,10m_stdev,10m_min,10m_max,slope_mean,slope_stde,slope_min,slope_max
1,160966.29938,164,19,559.192913385826000,12.587887448250400,539.000000000000000,584.000000000000000,557.975356144691000,12.224593461878500,536.141357421875000,584.254211425781000,9.427189385601830,4.015103825395270,0.207201555371284,31.015356063842700
2,44706.84990,164,19,535.865671641791000,11.899950485771800,515.000000000000000,561.000000000000000,528.527750469794000,8.239435600190320,515.446960449218000,547.140625000000000,10.651768821915900,4.880512924933880,2.073943853378290,26.873313903808500
3,652458.54490,164,19,437.399399399399000,15.297635676696500,407.000000000000000,475.000000000000000,433.552749241820000,13.427151676261100,406.270690917968000,473.551147460937000,8.892231873463870,4.238228299257150,0.198287919163704,26.555299758911100
4,32878.89103,164,19,422.800000000000000,4.779121258139400,413.000000000000000,430.000000000000000,411.845961962740000,5.457660476269900,399.954040527343000,423.308746337890000,11.834968786298100,3.797360997826990,2.757637500762930,23.120843887329100
5,146219.70198,164,19,429.395555555555000,9.691186271970240,405.000000000000000,449.000000000000000,419.434112507108000,8.608700801873660,401.317230224609000,438.444335937500000,9.983386114820250,4.635541039836980,0.376037836074829,29.915018081665000
6,38770.71734,164,19,422.762711864406000,2.546775848413560,416.000000000000000,427.000000000000000,420.019310136999000,2.396988777589330,411.924652099609000,424.208038330078000,6.684117648721360,3.095784064857530,0.162212505936623,14.056119918823200
7,72989.40396,164,19,434.261261261261000,7.061775944498740,419.000000000000000,447.000000000000000,430.314758133790000,5.348369021303160,415.355773925781000,439.509857177734000,7.759464790695500,3.451838151461650,0.305830776691437,21.537197113037100
8,119438.87209,164,19,433.811827956989000,11.472363702247100,416.000000000000000,457.000000000000000,434.868773369637000,11.692484855683500,413.873840332031000,458.949584960937000,10.382273264142200,2.679880520123110,1.487992882728570,17.284593582153300
9,65001.65114,164,19,432.782178217821000,6.655012196425710,419.000000000000000,444.000000000000000,429.037168303881000,6.039679973435540,415.225097656250000,439.438446044921000,9.704659741988940,4.075454036965340,0.281625151634216,17.876153945922800
10,134743.91503,164,19,469.259803921568000,8.892393310300810,450.000000000000000,492.000000000000000,461.824500401814000,6.884096485379270,441.349060058593000,477.085296630859000,10.746206884161500,5.220861429002770,0.330048888921738,29.137866973876900
11,361839.72633,164,19,443.070143884892000,6.080139917645480,424.000000000000000,459.000000000000000,441.562807160733000,5.901567778677180,420.733795166015000,457.077880859375000,9.160011413455860,4.204526680552720,0.081148669123650,29.000703811645500
12,104716.82099,164,19,498.080246913580000,9.641716456903820,476.000000000000000,518.000000000000000,490.468706990016000,8.776102928884200,470.051269531250000,506.663696289062000,11.141888620090100,6.331371606600160,0.335381895303726,33.260353088378900
13,725168.11766,164,19,489.424350940017000,15.689319669920400,436.000000000000000,521.000000000000000,485.175606551403000,14.557343163504500,434.092376708984000,512.315917968750000,11.849830965386200,5.775047387654320,0.100811317563057,35.266384124755800
14,111072.94210,164,19,475.356321839080000,6.329963431635670,456.000000000000000,489.000000000000000,467.774178382193000,6.861173998459630,446.007324218750000,482.413269042968000,11.361245209520500,5.346236305135880,0.587116420269012,33.154735565185500
15,200157.77155,164,19,481.340909090909000,6.848358544787880,461.000000000000000,495.000000000000000,480.095928598200000,8.025717528012880,458.321350097656000,498.263092041015000,8.476560182722350,5.166666374325700,0.052921865135431,26.810583114624000
16,144776.74499,164,19,499.151111111111000,8.727698493168420,477.000000000000000,517.000000000000000,489.978621150907000,8.589415981643570,470.814971923828000,505.317382812500000,11.269037070483400,5.791291977145340,0.088552534580231,31.322784423828100
17,37036.08021,164,19,444.241935483870000,4.868216484275640,434.000000000000000,451.000000000000000,436.466359816714000,3.760686488700240,428.329406738281000,446.910980224609000,5.362290906930490,2.026413597036610,0.110976919531822,12.248665809631300
18,345933.01228,164,19,469.676806083650000,7.975372863283820,449.000000000000000,487.000000000000000,468.158020700056000,8.832429104870720,447.495819091796000,489.808990478515000,10.784643621482500,5.023887737113150,0.206750884652138,31.673887252807600
19,142062.86852,164,19,504.815668202764000,7.659404847507480,486.000000000000000,524.000000000000000,500.099495797281000,8.575647064571640,478.669586181640000,522.178833007812000,11.071326465912000,4.878021042275210,0.245193853974342,28.999710083007800
20,60895.81366,164,19,554.322580645161000,6.540463451275820,542.000000000000000,566.000000000000000,548.732238066823000,8.841670999659600,530.902099609375000,565.659057617187000,14.649364167089100,6.688050574304900,0.358813315629959,29.251245498657200
