id,area,srtm_mean,srtm_stdev,srtm_min,srtm_max,10m_mean,10m_stdev,10m_min,10m_max,slope_mean,slope_stde,slope_min,slope_max
1,2224052.96559,2047.723815096540000,83.111917187955600,1867.000000000000000,2268.000000000000000,2049.413718904030000,84.523614741477800,1862.941894531250000,2289.830810546870000,24.499238547279100,11.711570833563400,0.027923947200179,72.551116943359300
2,383433.69717,2187.010118043840000,88.820336489933700,1980.000000000000000,2366.000000000000000,2190.930467391890000,89.893798717914700,1974.600341796870000,2367.518554687500000,28.355446817763400,8.539958657969320,1.262711167335510,59.156604766845700
3,2428736.36651,2175.866291532690000,248.313481881047000,0.000000000000000,2542.000000000000000,2204.374491434050000,103.928450380029000,1919.146362304680000,2562.263671875000000,27.389401994705300,10.864825845299400,0.000000000000000,64.044792175292900
4,6265525.42322,2037.751271142470000,234.299640971908000,0.000000000000000,2454.000000000000000,2054.198813817770000,177.065060031986000,1595.538940429680000,2462.122070312500000,26.867321170844400,12.528896635538500,0.000000000000000,72.157997131347600
5,4135026.34250,1836.946806841360000,405.459680270488000,0.000000000000000,2321.000000000000000,1934.208102374460000,126.322548019229000,1624.361572265620000,2354.543212890620000,24.490356620832200,11.981399441319600,0.171786159276962,74.116058349609300
6,4670201.45083,1876.847983310150000,88.036190912587100,1617.000000000000000,2129.000000000000000,1880.842668662700000,89.386808779999200,1617.998413085930000,2142.503417968750000,22.071458999909500,9.401293572121640,0.147766768932343,68.796020507812500
7,1454659.49844,1823.574831460670000,155.094215353789000,0.000000000000000,1996.000000000000000,1835.495899760990000,104.968330557304000,1581.001586914060000,2035.641601562500000,27.901151115319700,10.616707562758300,0.338829815387726,68.522621154785100
8,7950302.30821,2148.595076470100000,407.489289927211000,0.000000000000000,2629.000000000000000,2224.126924831680000,168.130530419888000,1816.605468750000000,2678.590576171870000,22.833060042835800,12.327536478556700,0.000000000000000,79.571922302246000
9,2492723.70174,2079.850625651720000,576.278496907566000,0.000000000000000,2694.000000000000000,2244.483429298080000,163.206229433628000,1930.242675781250000,2710.029541015620000,35.817300143898400,15.765551894096900,0.000000000000000,81.750885009765600
10,2840436.26566,2072.518654154260000,232.473345627038000,0.000000000000000,2397.000000000000000,2097.944438636480000,103.974180522921000,1883.835449218750000,2424.837402343750000,22.891405829090200,12.558951225849700,0.000000000000000,72.666328430175700
11,1415485.13682,2156.373113854590000,193.807674029223000,0.000000000000000,2354.000000000000000,2176.005917147810000,89.209625970744500,1868.359863281250000,2376.569824218750000,30.336612757657200,14.639048019575200,0.016844056546688,80.020385742187500
12,6869223.00609,2051.743926647130000,129.344004754971000,1774.000000000000000,2430.000000000000000,2054.096269421750000,129.973259141307000,1774.831054687500000,2442.504638671870000,23.080934436928000,12.492549481567700,0.000000000000000,72.760246276855400
13,313823.52995,2214.810309278350000,56.949110009131600,2116.000000000000000,2396.000000000000000,2219.822641693510000,57.771557470989800,2114.259765625000000,2400.772460937500000,25.769025335059200,12.682181449303500,0.547325372695923,69.125465393066400
14,599205.99564,1945.684095860560000,296.223533308979000,0.000000000000000,2117.000000000000000,1993.304014726580000,63.544090835744700,1870.583740234370000,2137.711669921870000,32.788382744273900,12.694484989627400,0.002039117040113,71.191215515136700
15,18496902.04583,1943.249226985240000,417.153511535844000,0.000000000000000,2386.000000000000000,2028.559083982890000,148.038491582830000,1554.040649414060000,2408.242675781250000,25.768878409069100,13.204904360202500,0.000000000000000,78.006614685058500
16,3882353.00334,1826.007502500830000,260.190627869917000,0.000000000000000,2095.000000000000000,1862.487202502250000,98.466593623672500,1635.939575195310000,2130.857421875000000,31.727175825013700,12.406855486187500,0.000000000000000,76.634582519531200
17,547773.88509,2278.654804270460000,69.886083786755900,2138.000000000000000,2488.000000000000000,2280.228125008920000,70.454504468052200,2131.668457031250000,2503.703613281250000,29.655204740598000,16.224512175436400,0.004254353232682,79.299751281738200
18,1653531.70604,1897.649529042380000,454.985293994164000,0.000000000000000,2394.000000000000000,1998.162586269610000,186.465264842724000,1576.474609375000000,2401.457763671870000,29.584682292062400,14.362823226233700,0.000000000000000,77.325820922851500
19,1459871.86188,1893.575433911880000,105.425631830620000,1640.000000000000000,2115.000000000000000,1895.256745474450000,108.810320901419000,1608.861572265620000,2133.726074218750000,28.952009651490400,9.842476953966640,0.000989117077552,58.886810302734300
20,1660009.75702,1768.694076383470000,76.653568879501800,1578.000000000000000,1949.000000000000000,1771.159640516540000,78.699575403502300,1570.869995117180000,1959.475708007810000,19.174846664299000,8.609679775478820,0.001783156068996,58.839286804199200
21,894185.69543,1771.736191860460000,763.200973656448000,0.000000000000000,2318.000000000000000,2116.115260577780000,97.498872023217800,1837.528930664060000,2342.441650390620000,37.719005632013800,10.524599595858000,0.608559250831604,75.519683837890600
22,4380807.45355,2102.689829250180000,144.100881851752000,0.000000000000000,2464.000000000000000,2111.724061953000000,109.056776143522000,1807.751342773430000,2490.806152343750000,25.203253806525900,13.096566246882900,0.000000000000000,76.522216796875000
23,3918075.52684,1934.171438027460000,480.820984560930000,0.000000000000000,2343.000000000000000,2055.439576062360000,113.256987765124000,1809.098266601560000,2378.187500000000000,28.299980675645900,13.919399924345400,0.000000000000000,79.798507690429600
24,7977108.69331,1804.503660322100000,149.387479217873000,0.000000000000000,2149.000000000000000,1815.871340296470000,93.743759225190100,1564.243408203120000,2183.047119140620000,23.075966677499000,12.843944576945100,0.000000000000000,75.567779541015600
