id,area,sheet_no,strat_id,srtm_mean,srtm_stdev,srtm_min,srtm_max,10m_mean,10m_stdev,10m_min,10m_max,slope_mean,slope_stde,slope_min,slope_max
1,494309.73208,164,20,700.056878306878000,12.963040370679100,662.000000000000000,742.000000000000000,696.784164592120000,14.071949093611000,653.117553710937000,731.939880371093000,9.633616876779210,5.802954665979410,0.151207327842712,29.611982345581000
2,31780.89633,164,20,692.840000000000000,9.027424881991540,677.000000000000000,715.000000000000000,682.483684862668000,11.862704517040900,651.226867675781000,710.395507812500000,14.597058437461000,6.637032886485280,1.267589807510370,29.271644592285100
3,7836.49889,164,20,679.083333333333000,6.422075642310320,671.000000000000000,689.000000000000000,673.449710752905000,4.208066096456910,667.473388671875000,682.874206542968000,7.378361193145190,3.166068877558990,1.000939011573790,14.708297729492100
4,11508.42464,164,20,628.062500000000000,5.413741197175940,619.000000000000000,636.000000000000000,604.058067058694000,5.998396855652800,592.977600097656000,618.935058593750000,17.646133523562800,9.556255364161610,2.111739873886100,38.030410766601500
5,41588.65769,164,20,607.870967741935000,7.187542697697000,594.000000000000000,627.000000000000000,590.085744345159000,6.496758975210850,573.519287109375000,611.302062988281000,10.753617795847200,5.087291795406110,2.295017719268790,26.528621673583900
6,21818.55316,164,20,589.515151515151000,9.493606180497290,573.000000000000000,602.000000000000000,575.946080691315000,5.182535331762900,563.166870117187000,589.289672851562000,11.905656922833800,6.391630890052810,0.473982483148575,31.465263366699200
7,6937.86682,164,20,647.272727272727000,3.910147848655730,641.000000000000000,653.000000000000000,630.705513107944000,4.920672386162860,622.257263183593000,639.149658203125000,12.321444632301800,4.291760577621270,5.968008518218990,25.157361984252900
8,10208.70555,164,20,665.500000000000000,4.077376607575020,659.000000000000000,673.000000000000000,657.143885848545000,3.597857304143840,647.947814941406000,666.233032226562000,9.598900526466930,5.114186555869520,0.985747635364532,19.102079391479400
9,23932.24964,164,20,663.564102564102000,6.113435694393170,653.000000000000000,675.000000000000000,653.535216519024000,2.643037239753210,644.574951171875000,661.920410156250000,6.420054438722680,3.948149382564980,0.496879398822784,17.548978805541900
10,61795.75723,164,20,628.814432989690000,11.170958202084800,612.000000000000000,657.000000000000000,628.006518058466000,11.404985342575000,605.588073730468000,649.454956054687000,8.466599842397170,3.541007340578560,1.992471337318420,24.593105316162100
11,26920.43976,164,20,662.619047619047000,3.638107703793150,656.000000000000000,671.000000000000000,659.605530233944000,4.049601623747900,649.730346679687000,667.314208984375000,4.944116794668570,2.097514310558840,0.578854799270630,11.996687889099100
12,121258.06152,164,20,689.464480874316000,7.984793993148590,669.000000000000000,709.000000000000000,688.141003768170000,8.026357724225060,666.712158203125000,707.578552246093000,7.434815781331450,2.693711147741340,0.540261328220367,20.519338607788000
13,102451.76985,164,20,661.465408805031000,7.113438318218010,649.000000000000000,683.000000000000000,657.992352988907000,8.282100033882120,637.628295898437000,683.645202636718000,10.044209726060600,5.485279782555230,0.873602151870728,29.174869537353500
14,679903.99493,164,20,661.430210325047000,23.337707065688100,600.000000000000000,711.000000000000000,660.214988479479000,23.266962397633300,596.246948242187000,704.360229492187000,8.904358420934330,4.441414721922870,0.077363990247250,29.433650970458900
15,197618.25297,164,20,714.633663366336000,9.019292968722920,698.000000000000000,737.000000000000000,714.822129269863000,9.314680886720480,697.897827148437000,738.299926757812000,5.616498197344900,2.095430529618300,0.573315858840942,13.897695541381800
16,729140.07120,164,20,677.601073345259000,19.856868845581200,623.000000000000000,715.000000000000000,671.057251796950000,19.832157157853300,610.460266113281000,706.884765625000000,7.721166982515130,3.910631554421380,0.074846163392067,25.007133483886700
17,163167.45692,164,20,606.054901960784000,26.048614533368800,564.000000000000000,657.000000000000000,604.406697129325000,20.711918446364600,564.968444824218000,640.995971679687000,9.279133127145240,3.828566970327230,0.836185812950134,24.272558212280200
18,22521.12055,164,20,568.088235294117000,13.709952690223400,544.000000000000000,592.000000000000000,559.410242465579000,11.219095327367200,545.393127441406000,589.741455078125000,13.511995029021800,7.571518407795720,3.547560214996330,27.420686721801700
