id,area,srtm_mean,srtm_stdev,srtm_min,srtm_max,10m_mean,10m_stdev,10m_min,10m_max,slope_mean,slope_stde,slope_min,slope_max
1,914165.79073,1913.775813295610000,117.017956808214000,1615.000000000000000,2120.000000000000000,1917.573485860370000,116.046998744592000,1613.470581054680000,2143.624267578120000,29.877480951608700,11.751172792696000,0.824372291564941,66.112098693847600
2,544011.69656,1701.693779904300000,62.629765838344900,1559.000000000000000,1923.000000000000000,1700.465790288950000,66.069645302156500,1555.959716796870000,1951.951416015620000,28.381628451919100,10.121523889334300,0.000000000000000,60.209125518798800
3,943866.70127,1787.160164271040000,110.261429497098000,0.000000000000000,1986.000000000000000,1794.534281074070000,76.161233318841800,1670.071777343750000,1999.433227539060000,23.773794725293400,11.845420740378200,0.000000000000000,70.473236083984300
4,392741.08541,1731.404605263150000,68.460088102500000,1603.000000000000000,1884.000000000000000,1733.339519566830000,67.693590196116400,1604.192138671870000,1894.701293945310000,30.242218073476400,9.039291473403820,1.688498020172110,59.270023345947200
5,473697.57339,1557.924554183810000,42.253446064934000,1466.000000000000000,1661.000000000000000,1549.884792116080000,43.702886443208800,1453.221313476560000,1657.468750000000000,19.996074410815600,7.117364792003340,0.533643364906311,49.936035156250000
6,2826897.88139,1803.436969001140000,114.529266132794000,1517.000000000000000,2114.000000000000000,1805.349516304000000,117.444244351144000,1504.258300781250000,2137.426757812500000,28.872117860476500,10.932244348972500,0.333147585391998,75.904380798339800
7,730434.21266,1729.746441281130000,99.199629489702500,1537.000000000000000,2008.000000000000000,1729.020554897710000,101.517056926573000,1516.329467773430000,2035.304321289060000,27.264097261703200,9.355286315509750,1.029689192771910,50.720127105712800
8,484832.57563,1732.316353887390000,98.354554642260600,1556.000000000000000,1928.000000000000000,1731.215604452460000,100.908267271234000,1552.907836914060000,1944.565429687500000,25.263991675247900,8.042303343081110,2.102353572845450,64.804679870605400
9,990062.48228,1868.238001314920000,62.217217437327600,1693.000000000000000,2011.000000000000000,1870.726914364220000,64.985035497043100,1681.796142578120000,2046.245849609370000,25.950354037896600,11.395971338377700,0.467546254396439,71.129219055175700
10,1138183.03151,1706.597505668930000,74.764119731462600,0.000000000000000,1865.000000000000000,1709.022242479500000,65.335045255806200,1544.489990234370000,1909.790527343750000,21.893121681477200,8.516940355764260,0.257094979286194,58.575839996337800
11,1518150.39009,1702.600775193790000,154.009777588479000,1386.000000000000000,2000.000000000000000,1703.686137208700000,159.106524465381000,1382.790771484370000,2012.418579101560000,22.836270782328600,10.527798926865500,0.006790056359023,61.869747161865200
12,656519.54264,1673.935258964140000,398.541875198436000,0.000000000000000,2001.000000000000000,1771.728316367280000,98.246794652776000,1643.363403320310000,2009.272094726560000,23.077595269433000,14.145120983688600,0.482561409473419,65.725662231445300
13,3535713.85215,1723.652333028360000,125.906764494311000,1365.000000000000000,2113.000000000000000,1722.665171644370000,128.071576036105000,1306.640869140620000,2116.365722656250000,20.654910193985200,11.927481800993200,0.000000000000000,72.867141723632800
14,128226.92759,1910.412371134020000,41.378253309619500,1830.000000000000000,2027.000000000000000,1912.792246294980000,40.988197507040300,1834.115722656250000,2012.235229492180000,25.526491407287600,8.354360165773500,3.775435924530020,63.163375854492100
15,149144.39611,1666.082251082250000,52.378882646669500,1593.000000000000000,1805.000000000000000,1663.624566408860000,51.025519871422600,1584.085937500000000,1807.691162109370000,23.056004593389900,11.112451644206500,0.411506175994873,59.700283050537100
16,8952265.43680,1778.858189467570000,104.703327181097000,1506.000000000000000,2074.000000000000000,1779.081074162320000,105.898990397235000,1504.675415039060000,2084.516357421870000,18.225754508512900,11.540479481438500,0.000000000000000,71.916221618652300
17,1521029.42815,1701.626865671640000,142.596941188949000,1437.000000000000000,1995.000000000000000,1702.229418221060000,143.685002643068000,1438.751708984370000,2009.665283203120000,22.855600986288800,10.429809479259400,0.246058121323586,63.452518463134700
18,224858.98995,1702.002898550720000,36.838582369829200,1628.000000000000000,1783.000000000000000,1703.565572544950000,38.678899978484100,1626.273193359370000,1801.983764648430000,19.897173965664500,11.200126935088900,0.786375343799591,58.899967193603500
19,2625054.86573,1705.897581441260000,76.165233329186100,1546.000000000000000,1918.000000000000000,1708.812863164520000,77.526357078130900,1537.986694335930000,1928.425903320310000,18.065803626894700,9.429636659519630,0.130513101816177,64.805229187011700
20,1323761.15635,1768.690092728160000,82.433113838682700,1616.000000000000000,1980.000000000000000,1772.892393625650000,84.551334658606100,1616.969726562500000,2016.949707031250000,23.374791269603500,11.598948308378400,0.105054289102554,57.916709899902300
21,565726.57878,1926.251448435680000,76.580469387728300,1677.000000000000000,2084.000000000000000,1929.005308581500000,79.416889026644900,1676.684692382810000,2096.427001953120000,28.193554534301400,12.343519312960100,0.000494558538776,64.371162414550700
